,CustomerID,SalesOrderID,Name,LineTotal,OrderQty
75796,30046,53621,"Women's Mountain Shorts, L",731.3955,20
63845,30043,58927,"Short-Sleeve Classic Jersey, XL",564.1955,20
70948,29950,58981,Water Bottle - 30 oz.,52.1455,20
87710,29586,51753,"Racing Socks, L",93.9455,20
65266,29966,53570,Hydration Pack - 70 oz.,574.6455,20
13141,29627,51703,"Long-Sleeve Logo Jersey, L",522.3955,20
64419,29658,51157,"Classic Vest, S",663.575,20
44947,29904,49061,"Full-Finger Gloves, L",396.9955,20
13118,29587,51143,"Long-Sleeve Logo Jersey, L",522.3955,20
63516,30048,51160,"Short-Sleeve Classic Jersey, XL",564.1955,20
42252,29722,50668,"Women's Tights, L",783.6455,20
15438,29722,53465,"Sport-100 Helmet, Black",365.6455,20
65081,29744,51090,Hydration Pack - 70 oz.,574.6455,20
87677,29772,51122,"Racing Socks, L",93.9455,20
75602,30118,71803,"Women's Mountain Shorts, S",731.3955,20
75053,29540,51718,"Women's Mountain Shorts, S",731.3955,20
63711,29941,55268,"Short-Sleeve Classic Jersey, XL",564.1955,20
44766,29540,46971,"Full-Finger Gloves, L",396.9955,20
88164,29633,69493,"Racing Socks, L",93.9455,20
26164,29693,51109,"Sport-100 Helmet, Red",267.6735,20
70256,29783,55324,Water Bottle - 30 oz.,52.1455,20
64907,29704,67349,"Classic Vest, S",663.575,20
88148,29684,69416,"Racing Socks, L",93.9455,20
26450,29796,53472,"Sport-100 Helmet, Red",365.6455,20
44527,30113,48293,"Full-Finger Gloves, M",377.145725,19
23705,29783,46671,"Road-650 Red, 60",7773.133225,19
64421,29795,51168,"Classic Vest, S",630.39625,19
64420,30048,51160,"Classic Vest, S",630.39625,19
63717,29658,55301,"Short-Sleeve Classic Jersey, XL",535.985725,19
87707,29633,51741,"Racing Socks, L",89.248225,19
68847,29658,51157,"Classic Vest, M",630.39625,19
75953,30071,59010,"Women's Mountain Shorts, L",694.825725,19
4433,29953,46974,AWC Logo Cap,85.815115,19
83503,29564,57054,"Touring-1000 Blue, 46",23667.854925,19
64125,29692,67268,"Short-Sleeve Classic Jersey, XL",535.985725,19
67604,29796,53472,Hitch Rack - 4-Bike,1191.3,19
87923,29592,58976,"Racing Socks, L",89.248225,19
5130,29736,53458,AWC Logo Cap,89.248225,19
4915,30107,51721,AWC Logo Cap,89.248225,19
74201,30043,53475,"Short-Sleeve Classic Jersey, L",535.985725,19
66452,29941,55268,Bike Wash - Dissolver,78.923625,19
64495,29736,53458,"Classic Vest, S",630.39625,19
75251,29901,57138,"Women's Mountain Shorts, S",694.825725,19
45090,29929,50745,"Full-Finger Gloves, L",377.145725,19
86818,29994,67304,"Road-350-W Yellow, 40",16886.578225,19
4017,29522,45321,"Mountain Bike Socks, M",94.31125,19
44610,29836,49157,"Full-Finger Gloves, M",377.145725,19
87726,29924,51828,"Racing Socks, L",89.248225,19
4835,29693,51109,AWC Logo Cap,89.248225,19
63937,29587,61238,"Short-Sleeve Classic Jersey, XL",535.985725,19
64481,29940,51858,"Classic Vest, S",630.39625,19
13151,30103,51734,"Long-Sleeve Logo Jersey, L",496.275725,19
29076,29998,47369,"Road-650 Red, 62",7364.02095,18
75542,29935,69413,"Women's Mountain Shorts, S",658.25595,18
5175,29637,53616,AWC Logo Cap,84.55095,18
13126,29589,51169,"Long-Sleeve Logo Jersey, L",470.15595,18
44444,29499,47380,"Full-Finger Gloves, M",357.29595,18
76259,29522,69532,"Women's Mountain Shorts, L",658.25595,18
98044,29615,57180,"Touring-3000 Blue, 50",6981.80175,18
12611,29861,46067,"Long-Sleeve Logo Jersey, L",452.0727,18
75086,29880,51864,"Women's Mountain Shorts, S",658.25595,18
87621,29701,71824,"Road-750 Black, 48",5078.60595,18
3960,29717,44489,"Mountain Bike Socks, M",89.3475,18
87883,29617,57136,"Racing Socks, L",84.55095,18
55082,29997,46957,ML Headset,962.03745,18
68902,29609,51837,"Classic Vest, M",597.2175,18
88067,29531,65256,"Racing Socks, L",84.55095,18
75945,29552,58951,"Women's Mountain Shorts, L",658.25595,18
88108,29981,67315,"Racing Socks, L",84.55095,18
65019,29557,71808,"Classic Vest, S",597.2175,18
63517,29795,51168,"Short-Sleeve Classic Jersey, XL",507.77595,18
87674,29761,51116,"Racing Socks, L",84.55095,18
11157,29994,49856,"Road-650 Red, 44",7364.02095,18
44438,30113,47353,"Full-Finger Gloves, M",357.29595,18
64966,29609,69511,"Classic Vest, S",597.2175,18
63565,29911,51791,"Short-Sleeve Classic Jersey, XL",507.77595,18
75134,30050,53573,"Women's Mountain Shorts, S",658.25595,18
44742,29909,46626,"Full-Finger Gloves, L",357.29595,18
44396,29549,46673,"Full-Finger Gloves, M",357.29595,18
78976,29615,51823,"Touring-1000 Blue, 60",22422.17835,18
64904,29795,67339,"Classic Vest, S",597.2175,18
4064,29925,46060,"Mountain Bike Socks, M",89.3475,18
4954,29705,51839,AWC Logo Cap,84.55095,18
64453,29786,51774,"Classic Vest, S",597.2175,18
12687,30109,46662,"Long-Sleeve Logo Jersey, L",452.0727,18
44763,29997,46957,"Full-Finger Gloves, L",357.29595,18
44804,29891,47394,"Full-Finger Gloves, L",357.29595,18
64518,29707,53530,"Classic Vest, S",597.2175,18
99835,29629,53535,"HL Touring Frame - Blue, 60",9441.77355,18
4843,30109,51140,AWC Logo Cap,84.55095,18
43340,29627,51703,"Half-Finger Gloves, M",230.32845,18
44542,29649,48351,"Full-Finger Gloves, M",357.29595,18
64541,30082,53615,"Classic Vest, S",597.2175,18
87863,29865,57029,"Racing Socks, L",84.55095,18
75341,30075,61230,"Women's Mountain Shorts, S",658.25595,18
75441,29891,65195,"Women's Mountain Shorts, S",621.686175,17
34110,30050,53573,"Mountain-200 Black, 38",20385.248675,17
87719,29619,51778,"Racing Socks, L",79.853675,17
75731,29896,51853,"Women's Mountain Shorts, L",621.686175,17
87780,29531,53578,"Racing Socks, L",79.853675,17
75789,29834,53580,"Women's Mountain Shorts, L",621.686175,17
41483,29996,46993,"Women's Tights, S",666.098675,17
5163,29551,53567,AWC Logo Cap,79.853675,17
63631,29552,53505,"Short-Sleeve Classic Jersey, XL",479.566175,17
16052,29557,58932,"Sport-100 Helmet, Black",310.798675,17
26150,29954,50738,"Sport-100 Helmet, Red",298.844445,17
87784,29864,53600,"Racing Socks, L",79.853675,17
87929,29864,59037,"Racing Socks, L",79.853675,17
11229,29701,50683,"Road-650 Red, 44",6954.908675,17
75124,29922,53512,"Women's Mountain Shorts, S",621.686175,17
44736,29825,46604,"Full-Finger Gloves, L",337.446175,17
64691,29707,58974,"Classic Vest, S",564.03875,17
75116,29951,53478,"Women's Mountain Shorts, S",621.686175,17
44784,29910,47031,"Full-Finger Gloves, L",337.446175,17
18683,29646,49884,"Road-650 Black, 52",6954.908675,17
67620,29707,53530,Hitch Rack - 4-Bike,1065.9,17
75052,29935,51715,"Women's Mountain Shorts, S",621.686175,17
64955,29643,69475,"Classic Vest, S",564.03875,17
13173,29643,51789,"Long-Sleeve Logo Jersey, L",444.036175,17
15854,29996,57065,"Sport-100 Helmet, Black",310.798675,17
44453,29649,47413,"Full-Finger Gloves, M",337.446175,17
7708,29937,46648,"Sport-100 Helmet, Blue",242.23824,16
75141,30071,53613,"Women's Mountain Shorts, S",585.1164,16
4782,29507,50306,AWC Logo Cap,72.26536,16
75042,29879,51156,"Women's Mountain Shorts, S",585.1164,16
12464,29510,44525,"Long-Sleeve Logo Jersey, L",401.8424,16
75788,29915,53576,"Women's Mountain Shorts, L",585.1164,16
42525,29614,46616,"Men's Bib-Shorts, M",752.3164,16
75794,30071,53613,"Women's Mountain Shorts, L",585.1164,16
67563,29609,51837,Hitch Rack - 4-Bike,1003.2,16
75139,29929,53606,"Women's Mountain Shorts, S",585.1164,16
69571,29608,51850,Water Bottle - 30 oz.,41.7164,16
63802,29608,57154,"Short-Sleeve Classic Jersey, XL",451.3564,16
79421,29727,51826,"Touring-2000 Blue, 54",10156.146,16
75775,29552,53505,"Women's Mountain Shorts, L",585.1164,16
75135,29834,53580,"Women's Mountain Shorts, S",585.1164,16
78031,29940,51858,"Touring-1000 Yellow, 60",12206.4384,16
12764,29891,47394,"Long-Sleeve Logo Jersey, L",401.8424,16
86493,30049,53497,"Road-350-W Yellow, 40",14220.2764,16
12737,30112,47033,"Long-Sleeve Logo Jersey, L",401.8424,16
63580,29705,51839,"Short-Sleeve Classic Jersey, XL",451.3564,16
44794,29985,47062,"Full-Finger Gloves, L",317.5964,16
63557,29786,51774,"Short-Sleeve Classic Jersey, XL",451.3564,16
75121,30029,53503,"Women's Mountain Shorts, S",585.1164,16
43362,29786,51774,"Half-Finger Gloves, M",204.7364,16
44992,29809,49489,"Full-Finger Gloves, L",317.5964,16
79473,29987,55276,"Touring-2000 Blue, 54",10156.146,16
75688,30000,51124,"Women's Mountain Shorts, L",585.1164,16
41942,29998,47369,"Women's Tights, L",626.9164,16
4508,29484,47454,AWC Logo Cap,72.26536,16
41471,30045,46967,"Women's Tights, S",626.9164,16
88205,29639,71792,"Racing Socks, L",75.1564,16
44745,29811,46631,"Full-Finger Gloves, L",317.5964,16
34836,29562,47441,"Mountain-200 Black, 42",16059.807,15
13240,29563,53524,"Long-Sleeve Logo Jersey, L",391.796625,15
76192,30000,67295,"Women's Mountain Shorts, L",548.546625,15
12748,29667,47067,"Long-Sleeve Logo Jersey, L",376.72725,15
3995,29562,44795,"Mountain Bike Socks, M",74.45625,15
88101,29827,67280,"Racing Socks, L",70.459125,15
63538,29907,51712,"Short-Sleeve Classic Jersey, XL",423.146625,15
97935,29737,51138,"Touring-3000 Blue, 50",4259.233125,15
75733,29880,51864,"Women's Mountain Shorts, L",548.546625,15
4501,29702,47435,AWC Logo Cap,67.748775,15
44994,29484,49495,"Full-Finger Gloves, L",297.746625,15
7988,29734,49855,"Sport-100 Helmet, Blue",263.686275,15
63507,29689,51123,"Short-Sleeve Classic Jersey, XL",423.146625,15
79267,29987,67298,"Touring-1000 Blue, 60",18685.148625,15
75255,29544,57155,"Women's Mountain Shorts, S",548.546625,15
44877,29544,48038,"Full-Finger Gloves, L",297.746625,15
44816,29834,47427,"Full-Finger Gloves, L",297.746625,15
75712,30101,51752,"Women's Mountain Shorts, L",548.546625,15
75233,29983,57057,"Women's Mountain Shorts, S",548.546625,15
87931,29531,59061,"Racing Socks, L",70.459125,15
27896,29489,67287,"Sport-100 Helmet, Red",274.234125,15
44897,29809,48313,"Full-Finger Gloves, L",297.746625,15
55102,30050,47451,ML Headset,801.697875,15
78059,29629,53535,"Touring-1000 Yellow, 60",11443.536,15
67568,29608,51850,Hitch Rack - 4-Bike,940.5,15
75783,29809,53552,"Women's Mountain Shorts, L",548.546625,15
7986,29937,49851,"Sport-100 Helmet, Blue",263.686275,15
86621,30049,58943,"Road-350-W Yellow, 40",13535.798024,14
94084,30049,58943,"Road-350-W Yellow, 48",13535.798024,14
4948,29924,51828,AWC Logo Cap,71.538824,14
23790,29689,47694,"Road-650 Red, 60",6230.721224,14
80971,29940,51858,"Touring-3000 Yellow, 62",3975.28425,14
64957,29911,69479,"Classic Vest, S",505.3076,14
12724,30044,47004,"Long-Sleeve Logo Jersey, L",382.49988,14
4330,29510,46062,AWC Logo Cap,68.786592,14
87777,29715,53563,"Racing Socks, L",71.538824,14
18409,29789,46997,"Road-650 Black, 52",6230.721224,14
87786,29815,53607,"Racing Socks, L",71.538824,14
8008,29703,50226,"Sport-100 Helmet, Blue",267.726592,14
87727,29617,51830,"Racing Socks, L",71.538824,14
75508,29500,67348,"Women's Mountain Shorts, S",556.952424,14
87890,29616,57168,"Racing Socks, L",71.538824,14
4447,30044,47004,AWC Logo Cap,68.786592,14
4760,29699,50245,AWC Logo Cap,68.786592,14
42582,29699,47012,"Men's Bib-Shorts, M",716.104424,14
84902,29817,51775,"Racing Socks, M",71.538824,14
4451,29699,47012,AWC Logo Cap,68.786592,14
64480,29616,51855,"Classic Vest, S",505.3076,14
79410,29564,51735,"Touring-2000 Blue, 54",9667.29036,14
8367,29563,53524,"Sport-100 Helmet, Blue",278.436424,14
74798,29563,71839,"Short-Sleeve Classic Jersey, L",429.630824,14
75837,30000,55275,"Women's Mountain Shorts, L",556.952424,14
21910,29998,49498,"Road-650 Red, 48",6230.721224,14
88226,29781,71923,"Racing Socks, L",71.538824,14
33575,29562,47441,"Mountain-200 Black, 38",16305.90444,14
97991,29629,53535,"Touring-3000 Blue, 50",3975.28425,14
12891,29954,48363,"Long-Sleeve Logo Jersey, L",382.49988,14
86455,29601,51769,"Road-350-W Yellow, 40",13535.798024,14
4024,29774,45341,"Mountain Bike Socks, M",75.5972,14
87673,29827,51105,"Racing Socks, L",71.538824,14
10992,29601,48033,"Road-650 Red, 44",6230.721224,14
63556,29716,51773,"Short-Sleeve Classic Jersey, XL",429.630824,14
64527,29546,53562,"Classic Vest, S",505.3076,14
80940,29987,51126,"Touring-3000 Yellow, 62",3975.28425,14
64927,30093,69399,"Classic Vest, S",505.3076,14
4036,29649,45553,"Mountain Bike Socks, M",75.5972,14
84862,29805,51117,"Racing Socks, M",71.538824,14
4955,29560,51842,AWC Logo Cap,71.538824,14
15111,29953,50218,"Sport-100 Helmet, Black",267.726592,14
25948,29954,47422,"Sport-100 Helmet, Red",267.726592,14
75792,29929,53606,"Women's Mountain Shorts, L",556.952424,14
88225,29864,71921,"Racing Socks, L",71.538824,14
76266,29918,69560,"Women's Mountain Shorts, L",556.952424,14
967,29861,43884,"Mountain-100 Silver, 42",27055.760424,14
64934,30117,69412,"Classic Vest, S",505.3076,14
87705,30023,51731,"Racing Socks, L",66.428908,13
87962,29761,61215,"Racing Socks, L",66.428908,13
80957,29995,51761,"Touring-3000 Yellow, 62",3691.335375,13
4120,29510,43879,AWC Logo Cap,63.873264,13
78453,29923,51857,Front Brakes,786.9498,13
75443,29559,65200,"Women's Mountain Shorts, S",517.170108,13
87817,29827,55257,"Racing Socks, L",66.428908,13
75125,29559,53518,"Women's Mountain Shorts, S",517.170108,13
45071,29499,50676,"Full-Finger Gloves, L",280.715708,13
75300,29915,59021,"Women's Mountain Shorts, S",517.170108,13
64137,29689,67294,"Short-Sleeve Classic Jersey, XL",398.942908,13
83424,29706,51814,"Touring-1000 Blue, 46",17616.370044,13
78023,29706,51814,"Touring-1000 Yellow, 60",9917.7312,13
78085,30051,55291,"Touring-1000 Yellow, 60",17616.370044,13
64205,29995,69454,"Short-Sleeve Classic Jersey, XL",398.942908,13
84893,29919,51745,"Racing Socks, M",66.428908,13
66219,29995,51761,Bike Wash - Dissolver,58.74414,13
64469,29617,51830,"Classic Vest, S",469.2142,13
75289,29559,58963,"Women's Mountain Shorts, S",517.170108,13
44468,29739,47458,"Full-Finger Gloves, M",280.715708,13
41908,30044,47004,"Women's Tights, L",554.116108,13
75610,29922,71832,"Women's Mountain Shorts, S",517.170108,13
14305,29624,43875,"Mountain-100 Black, 38",24938.476108,13
79116,29738,59040,"Touring-1000 Blue, 60",17616.370044,13
45129,30045,46967,Minipump,147.710108,13
64562,29844,55248,"Classic Vest, S",469.2142,13
87778,29572,53568,"Racing Socks, L",66.428908,13
10894,29703,46988,"Road-650 Red, 44",2137.5627,13
87826,29981,55295,"Racing Socks, L",66.428908,13
87761,29639,53464,"Racing Socks, L",66.428908,13
78977,29727,51826,"Touring-1000 Blue, 60",17616.370044,13
12787,29734,47662,"Long-Sleeve Logo Jersey, L",355.17846,13
75723,29968,51824,"Women's Mountain Shorts, L",517.170108,13
87714,30009,51770,"Racing Socks, L",66.428908,13
87783,29781,53598,"Racing Socks, L",66.428908,13
64699,29916,59012,"Classic Vest, S",469.2142,13
88104,29805,67290,"Racing Socks, L",66.428908,13
7756,29601,47008,"Sport-100 Helmet, Blue",248.603264,13
85305,29772,67292,"Racing Socks, M",61.318992,12
44860,29935,47991,"Full-Finger Gloves, L",259.122192,12
41144,29734,46608,"Men's Sports Shorts, M",409.179792,12
19276,29746,46363,"Road-450 Red, 58",9944.658192,12
75793,29812,53608,"Women's Mountain Shorts, L",477.387792,12
44752,29654,46651,"Full-Finger Gloves, L",259.122192,12
78719,29923,51857,Front Derailleur,624.034992,12
45034,29540,50212,"Full-Finger Gloves, L",259.122192,12
44750,29937,46648,"Full-Finger Gloves, L",259.122192,12
12896,29702,48375,"Long-Sleeve Logo Jersey, L",327.85704,12
44377,29825,46604,"Full-Finger Gloves, M",259.122192,12
44864,29816,47997,"Full-Finger Gloves, L",259.122192,12
45059,29880,50302,"Full-Finger Gloves, L",259.122192,12
87961,29772,61193,"Racing Socks, L",61.318992,12
10990,29789,48023,"Road-650 Red, 44",5340.618192,12
63663,30082,53615,"Short-Sleeve Classic Jersey, XL",368.254992,12
87769,29486,53526,"Racing Socks, L",61.318992,12
88102,29489,67287,"Racing Socks, L",61.318992,12
79531,29720,58946,"Touring-2000 Blue, 54",8286.24888,12
80786,29564,51735,"HL Touring Frame - Yellow, 54",6847.469328,12
75540,29984,69404,"Women's Mountain Shorts, S",477.387792,12
80790,29706,51814,"HL Touring Frame - Yellow, 54",6847.469328,12
4195,29861,44530,AWC Logo Cap,58.959936,12
79408,29942,51726,"Touring-2000 Blue, 54",8286.24888,12
26648,29489,55264,"Sport-100 Helmet, Red",238.659792,12
4464,29507,47042,AWC Logo Cap,58.959936,12
75182,29811,55260,"Women's Mountain Shorts, S",477.387792,12
4045,29898,45783,"Mountain Bike Socks, M",64.7976,12
85345,30009,69462,"Racing Socks, M",61.318992,12
42635,29702,47435,"Men's Bib-Shorts, M",613.803792,12
45017,30018,49847,"Full-Finger Gloves, L",259.122192,12
25929,29639,47366,"Sport-100 Helmet, Red",229.479936,12
3994,29810,44792,"Mountain Bike Socks, M",64.7976,12
13177,30015,51806,"Long-Sleeve Logo Jersey, L",340.971792,12
87720,30011,51780,"Racing Socks, L",61.318992,12
44561,30096,48739,"Full-Finger Gloves, M",259.122192,12
14490,29507,46090,"Mountain-100 Black, 38",23020.131792,12
3950,29898,44285,"Mountain Bike Socks, M",64.7976,12
75292,30037,58978,"Women's Mountain Shorts, S",477.387792,12
13247,30097,53541,"Long-Sleeve Logo Jersey, L",340.971792,12
64435,29907,51712,"Classic Vest, S",433.1208,12
68,29624,44518,"Mountain-100 Black, 42",23020.131792,12
13701,29916,65257,"Long-Sleeve Logo Jersey, L",340.971792,12
67643,29956,53614,Hitch Rack - 4-Bike,818.496,12
44756,29797,46930,"Full-Finger Gloves, L",259.122192,12
1199,29624,43875,"Mountain-100 Silver, 44",23190.651792,12
64402,29844,51101,"Classic Vest, S",433.1208,12
34092,29622,53457,"Mountain-200 Black, 38",15653.667792,12
3966,29925,44523,"Mountain Bike Socks, M",64.7976,12
4212,29967,44742,AWC Logo Cap,58.959936,12
44799,29803,47362,"Full-Finger Gloves, L",259.122192,12
307,29515,44534,"Mountain-100 Black, 44",23020.131792,12
64675,30097,58922,"Classic Vest, S",433.1208,12
23730,29789,46997,"Road-650 Red, 60",5340.618192,12
79462,29695,53605,"Touring-2000 Blue, 54",8286.24888,12
13253,30092,53565,"Long-Sleeve Logo Jersey, L",340.971792,12
75877,30055,57037,"Women's Mountain Shorts, L",437.605476,11
6857,29907,69406,AWC Logo Cap,56.209076,11
